,instances,budget,deadline,sched_start_time,submit_time,exec_start_time,finish_time,complete,cost
lamf-test-c5f3d318-ed60-437f-9c1e-4a6f0f18365e,"{<resource_manager.instance.OnPremInstance object at 0x11406b620>: [(5, 23956.968, None), (-4, 29438.04, None), (1, 34428.576, None), (1, 37428.576, None)]}",302.37657057421836,142079.51416207862,23956.968,14459.812508024499,23956.968,39922.155999999995,True,18.60756356159999
lamf-test-68ff13a7-de65-4a50-8bee-581fe346b072,"{<resource_manager.instance.OnPremInstance object at 0x11406b620>: [(4, 24016.968, None), (-3, 27016.968, None)]}",316.0799972187193,141989.25430734415,24016.968,14465.534798429499,24016.968,33969.24799999999,True,7.687044767999996
lamf-test-e3ac6e81-3f29-40d1-91c8-119f86b94741,"{<resource_manager.instance.OnPremInstance object at 0x11406b620>: [(2, 24556.968, None), (2, 36468.576, None)]}",292.3170995981352,142375.2063026776,24556.968,14466.534798429499,24556.968,44911.737,True,23.360880815999998
lamf-test-cd918581-b0d1-458e-92b2-5c59b3bd83b5,"{<resource_manager.instance.OnPremInstance object at 0x11406b620>: [(3, 24736.968, 26236.968), (2, 26236.968, None), (0, 32208.576, None), (2, 38178.576, None)]}",301.10787935133226,142651.23540008024,24736.968,15010.4173253945,24736.968,41214.144,True,16.4371379328
lamf-test-3231937d-3960-4134-90c2-f2e92cf6e932,"{<resource_manager.instance.OnPremInstance object at 0x11406b620>: [(2, 24766.968, None), (2, 26836.968, None), (0, 30338.04, None)]}",109.51414052886817,45996.60222409738,24766.968,15014.062531218,24766.968,33501.257999999994,True,12.49132809599999
lamf-test-5e0241b4-8be0-4af4-bde6-0b42fa40fc67,"{<resource_manager.instance.OnPremInstance object at 0x11406b620>: [(2, 24796.968, None), (0, 26536.968, None)]}",98.3173256377796,46231.60761964285,24796.968,15027.2354282195,24796.968,27500.494000000002,True,2.1931002912000013
lamf-test-d56ac58c-44ed-4cac-88e0-685510119191,"{<resource_manager.instance.OnPremInstance object at 0x11406b620>: [(2, 24826.968, None), (3, 27016.968, None)]}",70.70390367140996,29091.182657557343,24826.968,15029.1842398295,24826.968,29106.582657557345,False,
lamf-test-093fc8c1-409b-4af5-91bd-f1586aa318b7,"{<resource_manager.instance.CloudReservedInstance object at 0x114265310>: [(1, 25096.968, None)], <resource_manager.instance.CloudReservedInstance object at 0x114265090>: [(1, 25096.968, None)], <resource_manager.instance.CloudReservedInstance object at 0x1140823f0>: [(3, 25096.968, None)], <resource_manager.instance.CloudReservedInstance object at 0x11406be00>: [(1, 25096.968, None)], <resource_manager.instance.CloudReservedInstance object at 0x11426c3b0>: [(-3, 26206.968, None)]}",48.98947611555658,29197.551744472665,25096.968,15043.146714540499,25096.968,29212.951744472666,False,
lamf-test-412a625e-1641-430d-83ff-ad06d8ff7ded,"{<resource_manager.instance.OnPremInstance object at 0x11406b620>: [(5, 25456.968, None), (-2, 26506.968, None)]}",48.58977843534464,29332.34426602877,25456.968,15050.655129768498,25456.968,27319.476,True,3.1180597343999974
lamf-test-499e704f-e77f-4d06-942d-f6729f7df6df,"{<resource_manager.instance.OnPremInstance object at 0x11406b620>: [(3, 25876.968, None), (-1, 33348.576, None), (3, 45249.648, None)]}",295.12516285873096,142709.33670559953,25876.968,15051.784237230499,25876.968,50220.708999999995,True,28.82691392879999
lamf-test-b31f9afe-254c-4126-a484-8628eb9333c1,"{<resource_manager.instance.OnPremInstance object at 0x11406b620>: [(6, 26056.968, None), (-1, 26776.968, None), (-2, 27376.968, None), (-1, 27736.968, None)]}",58.325064065435534,29230.556734001984,26056.968,15052.784237230499,26056.968,28664.854,True,4.159741123199999
lamf-test-893ff824-f1d2-4433-939e-c7c4d678a42b,"{<resource_manager.instance.OnPremInstance object at 0x11406b620>: [(2, 26116.968, None), (-1, 30098.04, None), (1, 43479.648, None), (3, 47949.648, None), (-2, 51939.648, None)]}",291.47945752946964,143325.12725722019,26116.968,15616.837171207499,26116.968,54432.781,True,23.408454045600003
lamf-test-9ad3c991-d587-4e6c-87f0-aa8b942b2b5d,"{<resource_manager.instance.OnPremInstance object at 0x11406b620>: [(6, 26356.968, None), (-5, 29348.04, None), (1, 34338.576, None)]}",294.2702271699325,143462.01053375946,26356.968,15621.251883580499,26356.968,50705.708999999995,True,22.5802525104
lamf-test-50bd9009-28ec-4253-bcf7-ae2b62692323,"{<resource_manager.instance.OnPremInstance object at 0x11406b620>: [(3, 26416.968, None), (1, 28006.968, None), (0, 29918.04, None), (0, 32778.576, None)]}",96.71534015432012,46801.24118816113,26416.968,15622.251883580499,26416.968,35163.958,True,13.546212575999999
lamf-test-65b278d1-c75b-4135-b5aa-f825706c680d,"{<resource_manager.instance.OnPremInstance object at 0x11406b620>: [(4, 26476.968, None), (2, 27736.968, None), (-3, 28898.04, None), (-1, 29708.04, None)]}",46.808209305960055,29857.19068646283,26476.968,15630.895318487499,26476.968,29872.59068646283,False,
lamf-test-4e05654b-8014-4960-848f-0c1b470c0ee8,"{<resource_manager.instance.OnPremInstance object at 0x11406b620>: [(5, 26506.968, None), (-3, 28467.504, None)]}",119.66024806020059,46842.672147246056,26506.968,15641.276824307499,26506.968,30060.084,True,5.267867903999998
lamf-test-2b6c6b3a-28c9-458c-9ffa-76aefcc26451,"{<resource_manager.instance.OnPremInstance object at 0x11406b620>: [(5, 26686.968, None), (-4, 33648.576, None), (5, 44079.648, None), (-2, 46089.648, None), (-1, 50079.648, None)]}",317.28833254019617,143322.13709293757,26686.968,15648.934892567499,26686.968,54057.363000000005,True,34.5539794392
lamf-test-2f12deb2-00c6-45f2-bf9e-431fba73627e,"{<resource_manager.instance.OnPremInstance object at 0x11406b620>: [(6, 27376.968, None), (-4, 27886.968, None), (2, 29498.04, None), (-2, 33468.576, None)]}",93.49967154984164,46938.32564939875,27376.968,15652.0210406665,27376.968,34590.17799999999,True,9.899678755199997
